Time,station_id,Taxi,Bus,Cargo,Private_Veh,num_Taxi,num_Bus,num_Cargo,num_Private_Veh,frac_Taxi,frac_Bus,frac_Cargo,frac_Private_Veh,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,latitude,longitude
0700-0800 ,1004,46.1,6.9,21.8,37.7,1480.732,221.62800000000001,700.216,1210.924,0.06039141371502721,0.23133360124002525,0.07045985324117479,0.06303479478778325,909.0,629.0,444.0,336.0,324.0,465.0,1209.0,3212.0,3751.0,3454.0,3229.0,3113.0,2940.0,2895.0,3005.0,3001.0,3003.0,3068.0,3263.0,2766.0,2129.0,1997.0,1851.0,1440.0,22.2665072,114.23772116904809
0800-0900 ,1004,57.7,1.9,19.5,47.6,2164.327,71.26899999999999,731.445,1785.476,0.0882717245737944,0.07439003387106032,0.07360229893917176,0.0929431684057068,909.0,629.0,444.0,336.0,324.0,465.0,1209.0,3212.0,3751.0,3454.0,3229.0,3113.0,2940.0,2895.0,3005.0,3001.0,3003.0,3068.0,3263.0,2766.0,2129.0,1997.0,1851.0,1440.0,22.2665072,114.23772116904809
0900-1000 ,1004,50.0,1.0,24.5,41.2,1727.0,34.54,846.23,1423.048,0.07043541402890732,0.0360525862563867,0.0851526409112036,0.07407693517773649,909.0,629.0,444.0,336.0,324.0,465.0,1209.0,3212.0,3751.0,3454.0,3229.0,3113.0,2940.0,2895.0,3005.0,3001.0,3003.0,3068.0,3263.0,2766.0,2129.0,1997.0,1851.0,1440.0,22.2665072,114.23772116904809
1000-1100 ,1004,43.0,0.9,31.6,33.0,1388.47,29.061000000000003,1020.364,1065.5700000000002,0.056628523055423825,0.03033364821067904,0.10267502840920241,0.055468374796451475,909.0,629.0,444.0,336.0,324.0,465.0,1209.0,3212.0,3751.0,3454.0,3229.0,3113.0,2940.0,2895.0,3005.0,3001.0,3003.0,3068.0,3263.0,2766.0,2129.0,1997.0,1851.0,1440.0,22.2665072,114.23772116904809
1100-1200 ,1004,43.1,1.8,29.5,32.5,1341.703,56.034000000000006,918.3349999999999,1011.725,0.05472113856909498,0.05848785808599805,0.09240827019981583,0.05266546683084158,909.0,629.0,444.0,336.0,324.0,465.0,1209.0,3212.0,3751.0,3454.0,3229.0,3113.0,2940.0,2895.0,3005.0,3001.0,3003.0,3068.0,3263.0,2766.0,2129.0,1997.0,1851.0,1440.0,22.2665072,114.23772116904809
1200-1300 ,1004,52.7,1.3,26.0,34.8,1549.38,38.220000000000006,764.4,1023.1199999999999,0.06319121122646695,0.03989374194322814,0.07691842491110458,0.05325863492942314,909.0,629.0,444.0,336.0,324.0,465.0,1209.0,3212.0,3751.0,3454.0,3229.0,3113.0,2940.0,2895.0,3005.0,3001.0,3003.0,3068.0,3263.0,2766.0,2129.0,1997.0,1851.0,1440.0,22.2665072,114.23772116904809
1300-1400 ,1004,40.8,2.6,28.1,34.8,1181.1599999999999,75.27000000000001,813.4950000000001,1007.4599999999999,0.04817341843334346,0.07856624688819419,0.08185865263351522,0.052443451741727896,909.0,629.0,444.0,336.0,324.0,465.0,1209.0,3212.0,3751.0,3454.0,3229.0,3113.0,2940.0,2895.0,3005.0,3001.0,3003.0,3068.0,3263.0,2766.0,2129.0,1997.0,1851.0,1440.0,22.2665072,114.23772116904809
1400-1500 ,1004,46.7,2.2,27.4,36.6,1403.335,66.11000000000001,823.3699999999999,1099.83,0.05723478966198996,0.0690051093633389,0.08285233322744136,0.05725178322623686,909.0,629.0,444.0,336.0,324.0,465.0,1209.0,3212.0,3751.0,3454.0,3229.0,3113.0,2940.0,2895.0,3005.0,3001.0,3003.0,3068.0,3263.0,2766.0,2129.0,1997.0,1851.0,1440.0,22.2665072,114.23772116904809
1500-1600 ,1004,53.8,2.2,24.3,41.5,1614.5379999999998,66.022,729.2429999999999,1245.415,0.06584866965570582,0.06891325564039268,0.07338072074496159,0.06483022795041396,909.0,629.0,444.0,336.0,324.0,465.0,1209.0,3212.0,3751.0,3454.0,3229.0,3113.0,2940.0,2895.0,3005.0,3001.0,3003.0,3068.0,3263.0,2766.0,2129.0,1997.0,1851.0,1440.0,22.2665072,114.23772116904809
1600-1700 ,1004,53.6,2.4,24.9,40.5,1609.6080000000002,72.072,747.747,1216.2150000000001,0.06564760040778313,0.07522819909294448,0.07524270208268409,0.06331021843057352,909.0,629.0,444.0,336.0,324.0,465.0,1209.0,3212.0,3751.0,3454.0,3229.0,3113.0,2940.0,2895.0,3005.0,3001.0,3003.0,3068.0,3263.0,2766.0,2129.0,1997.0,1851.0,1440.0,22.2665072,114.23772116904809
1700-1800 ,1004,59.0,1.6,16.9,45.5,1810.12,49.088,518.492,1395.94,0.0738254497058516,0.05123767672708484,0.05217371529174311,0.07266582497007092,909.0,629.0,444.0,336.0,324.0,465.0,1209.0,3212.0,3751.0,3454.0,3229.0,3113.0,2940.0,2895.0,3005.0,3001.0,3003.0,3068.0,3263.0,2766.0,2129.0,1997.0,1851.0,1440.0,22.2665072,114.23772116904809
1800-1900 ,1004,58.8,3.0,15.0,49.9,1918.644,97.89,489.45,1628.237,0.07825158338973877,0.1021768288545945,0.04925133839971237,0.08475807330672762,909.0,629.0,444.0,336.0,324.0,465.0,1209.0,3212.0,3751.0,3454.0,3229.0,3113.0,2940.0,2895.0,3005.0,3001.0,3003.0,3068.0,3263.0,2766.0,2129.0,1997.0,1851.0,1440.0,22.2665072,114.23772116904809
1900-2000 ,1004,65.3,1.4,9.9,51.1,1806.198,38.724,273.834,1413.426,0.07366549157393419,0.040419813265556416,0.02755478802604319,0.07357606080787674,909.0,629.0,444.0,336.0,324.0,465.0,1209.0,3212.0,3751.0,3454.0,3229.0,3113.0,2940.0,2895.0,3005.0,3001.0,3003.0,3068.0,3263.0,2766.0,2129.0,1997.0,1851.0,1440.0,22.2665072,114.23772116904809
2000-2100 ,1004,57.0,0.8,10.6,43.5,1213.53,17.032,225.674,926.115,0.04949362361696578,0.017777870559316105,0.0227086455041714,0.04820902796119978,909.0,629.0,444.0,336.0,324.0,465.0,1209.0,3212.0,3751.0,3454.0,3229.0,3113.0,2940.0,2895.0,3005.0,3001.0,3003.0,3068.0,3263.0,2766.0,2129.0,1997.0,1851.0,1440.0,22.2665072,114.23772116904809
2100-2200 ,1004,54.6,0.7,9.2,44.0,1090.362,13.979,183.724,878.68,0.044470236775557295,0.014591172648466407,0.018487389715290133,0.04573979331826719,909.0,629.0,444.0,336.0,324.0,465.0,1209.0,3212.0,3751.0,3454.0,3229.0,3113.0,2940.0,2895.0,3005.0,3001.0,3003.0,3068.0,3263.0,2766.0,2129.0,1997.0,1851.0,1440.0,22.2665072,114.23772116904809
2200-2300 ,1004,65.9,0.6,8.200000000000001,47.5,1219.809,11.106,151.78200000000004,879.2249999999999,0.04974971161041541,0.011592357352733952,0.015273197762764625,0.045768163358962846,909.0,629.0,444.0,336.0,324.0,465.0,1209.0,3212.0,3751.0,3454.0,3229.0,3113.0,2940.0,2895.0,3005.0,3001.0,3003.0,3068.0,3263.0,2766.0,2129.0,1997.0,1851.0,1440.0,22.2665072,114.23772116904809
0700-0800 ,1007,18.4,2.7,16.7,31.9,265.88,39.01500000000001,241.31499999999997,460.955,0.02849083140227976,0.1443706011648819,0.05927922612132841,0.048000770586504836,548.0,387.0,229.0,206.0,194.0,269.0,631.0,1445.0,1978.0,1935.0,1743.0,1557.0,1370.0,1433.0,1408.0,1398.0,1307.0,1326.0,1401.0,1313.0,1150.0,995.0,958.0,836.0,22.2880282,114.1500858
0800-0900 ,1007,36.6,4.6,16.4,47.9,723.948,90.988,324.39199999999994,947.462,0.07757590045139773,0.33669081785954813,0.07968715877566651,0.098662355547572,548.0,387.0,229.0,206.0,194.0,269.0,631.0,1445.0,1978.0,1935.0,1743.0,1557.0,1370.0,1433.0,1408.0,1398.0,1307.0,1326.0,1401.0,1313.0,1150.0,995.0,958.0,836.0,22.2880282,114.1500858
0900-1000 ,1007,47.0,0.9,21.9,33.5,909.4499999999999,17.415000000000003,423.76499999999993,648.225,0.09745368820070455,0.06444224065837288,0.10409821709095884,0.06750181582461867,548.0,387.0,229.0,206.0,194.0,269.0,631.0,1445.0,1978.0,1935.0,1743.0,1557.0,1370.0,1433.0,1408.0,1398.0,1307.0,1326.0,1401.0,1313.0,1150.0,995.0,958.0,836.0,22.2880282,114.1500858
1000-1100 ,1007,43.6,0.7,24.2,32.8,759.948,12.200999999999999,421.806,571.704,0.08143354273544343,0.04514842252499612,0.10361698714681249,0.05953343069797954,548.0,387.0,229.0,206.0,194.0,269.0,631.0,1445.0,1978.0,1935.0,1743.0,1557.0,1370.0,1433.0,1408.0,1398.0,1307.0,1326.0,1401.0,1313.0,1150.0,995.0,958.0,836.0,22.2880282,114.1500858
1100-1200 ,1007,40.8,0.7,28.5,38.7,635.256,10.899,443.74499999999995,602.559,0.06807195574427045,0.04033051857224266,0.1090063203497871,0.06274646402324255,548.0,387.0,229.0,206.0,194.0,269.0,631.0,1445.0,1978.0,1935.0,1743.0,1557.0,1370.0,1433.0,1408.0,1398.0,1307.0,1326.0,1401.0,1313.0,1150.0,995.0,958.0,836.0,22.2880282,114.1500858
1200-1300 ,1007,47.7,0.7,24.9,31.5,653.49,9.59,341.13,431.55,0.07002585156113961,0.0354867119100658,0.08379886209630054,0.04493873056286658,548.0,387.0,229.0,206.0,194.0,269.0,631.0,1445.0,1978.0,1935.0,1743.0,1557.0,1370.0,1433.0,1408.0,1398.0,1307.0,1326.0,1401.0,1313.0,1150.0,995.0,958.0,836.0,22.2880282,114.1500858
1300-1400 ,1007,41.9,1.2,21.5,42.6,600.427,17.196,308.09499999999997,610.458,0.06433979399118636,0.06363185589212633,0.07568378746389855,0.06356901305050724,548.0,387.0,229.0,206.0,194.0,269.0,631.0,1445.0,1978.0,1935.0,1743.0,1557.0,1370.0,1433.0,1408.0,1398.0,1307.0,1326.0,1401.0,1313.0,1150.0,995.0,958.0,836.0,22.2880282,114.1500858
1400-1500 ,1007,43.9,0.3,21.2,42.4,618.112,4.224,298.496,596.992,0.06623486076322381,0.015630434943495093,0.07332578530266269,0.06216675387831501,548.0,387.0,229.0,206.0,194.0,269.0,631.0,1445.0,1978.0,1935.0,1743.0,1557.0,1370.0,1433.0,1408.0,1398.0,1307.0,1326.0,1401.0,1313.0,1150.0,995.0,958.0,836.0,22.2880282,114.1500858
1500-1600 ,1007,43.8,0.6,22.1,46.0,612.324,8.388,308.958,643.08,0.06561463760933335,0.031038846663360993,0.07589578411616926,0.06696604993712951,548.0,387.0,229.0,206.0,194.0,269.0,631.0,1445.0,1978.0,1935.0,1743.0,1557.0,1370.0,1433.0,1408.0,1398.0,1307.0,1326.0,1401.0,1313.0,1150.0,995.0,958.0,836.0,22.2880282,114.1500858
1600-1700 ,1007,46.3,0.5,23.1,45.1,605.141,6.535,301.91700000000003,589.457,0.06484493081693611,0.024182029440279456,0.07416615673651913,0.061382109376423695,548.0,387.0,229.0,206.0,194.0,269.0,631.0,1445.0,1978.0,1935.0,1743.0,1557.0,1370.0,1433.0,1408.0,1398.0,1307.0,1326.0,1401.0,1313.0,1150.0,995.0,958.0,836.0,22.2880282,114.1500858
1700-1800 ,1007,46.0,1.1,16.5,43.5,609.96,14.586000000000002,218.79000000000002,576.81,0.06536131909934768,0.053973845664256496,0.05374594154149326,0.06006513538632156,548.0,387.0,229.0,206.0,194.0,269.0,631.0,1445.0,1978.0,1935.0,1743.0,1557.0,1370.0,1433.0,1408.0,1398.0,1307.0,1326.0,1401.0,1313.0,1150.0,995.0,958.0,836.0,22.2880282,114.1500858
1800-1900 ,1007,42.5,1.0,11.1,51.5,595.425,14.01,155.511,721.515,0.06380379602716423,0.05184242271741625,0.038201403697879964,0.07513374622191328,548.0,387.0,229.0,206.0,194.0,269.0,631.0,1445.0,1978.0,1935.0,1743.0,1557.0,1370.0,1433.0,1408.0,1398.0,1307.0,1326.0,1401.0,1313.0,1150.0,995.0,958.0,836.0,22.2880282,114.1500858
1900-2000 ,1007,49.1,1.0,7.9,47.5,644.683,13.13,103.727,623.675,0.06908212223903988,0.048586082104188105,0.025480621958382334,0.06494534302814461,548.0,387.0,229.0,206.0,194.0,269.0,631.0,1445.0,1978.0,1935.0,1743.0,1557.0,1370.0,1433.0,1408.0,1398.0,1307.0,1326.0,1401.0,1313.0,1150.0,995.0,958.0,836.0,22.2880282,114.1500858
2000-2100 ,1007,39.6,0.2,4.5,50.6,455.40000000000003,2.3000000000000003,51.75,581.9,0.048799174893178136,0.008510890239119015,0.012712429611829956,0.06059517394168013,548.0,387.0,229.0,206.0,194.0,269.0,631.0,1445.0,1978.0,1935.0,1743.0,1557.0,1370.0,1433.0,1408.0,1398.0,1307.0,1326.0,1401.0,1313.0,1150.0,995.0,958.0,836.0,22.2880282,114.1500858
2100-2200 ,1007,30.7,0.5,5.199999999999999,52.9,305.465,4.9750000000000005,51.73999999999999,526.355,0.03273263056377834,0.018409425625920475,0.012709973103692401,0.05481108915633794,548.0,387.0,229.0,206.0,194.0,269.0,631.0,1445.0,1978.0,1935.0,1743.0,1557.0,1370.0,1433.0,1408.0,1398.0,1307.0,1326.0,1401.0,1313.0,1150.0,995.0,958.0,836.0,22.2880282,114.1500858
