,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,link_id,link_name,link_coord
Sat,240,181,153,104,68,66,118,195,275,347,402,421,436,516,504,469,445,493,538,531,411,357,347,301,1014,Caine Rd,"{'latitude': '22.2802657', 'longitude': '114.153656'}"
Sun,216,153,125,85,63,54,89,159,214,304,344,394,425,411,383,372,353,378,404,366,332,276,215,151,1014,Caine Rd,"{'latitude': '22.2802657', 'longitude': '114.153656'}"
M-F,124,83,59,36,31,57,153,290,344,365,361,359,362,367,351,337,326,342,396,489,398,336,293,218,1014,Caine Rd,"{'latitude': '22.2802657', 'longitude': '114.153656'}"
Mon,40,20,11,8,8,14,85,238,364,401,370,365,361,333,357,372,376,390,336,267,174,149,132,84,1015,Peak Rd,"{'latitude': '22.2705687', 'longitude': '114.169187'}"
Tue,40,20,11,8,8,14,84,237,364,400,369,365,360,332,357,371,375,389,335,266,174,149,132,84,1015,Peak Rd,"{'latitude': '22.2705687', 'longitude': '114.169187'}"
Wed,40,21,12,9,9,15,86,241,370,407,375,371,366,338,363,377,382,396,341,271,177,151,134,85,1015,Peak Rd,"{'latitude': '22.2705687', 'longitude': '114.169187'}"
Thu,41,21,12,9,9,15,86,243,372,409,377,373,368,340,364,379,384,398,343,272,178,152,135,86,1015,Peak Rd,"{'latitude': '22.2705687', 'longitude': '114.169187'}"
Fri,43,22,12,9,9,16,91,255,391,430,397,392,387,357,383,399,403,418,360,286,187,160,142,90,1015,Peak Rd,"{'latitude': '22.2705687', 'longitude': '114.169187'}"
Sat,69,43,27,17,15,20,95,182,290,368,401,415,389,382,388,411,395,422,391,293,213,203,169,117,1015,Peak Rd,"{'latitude': '22.2705687', 'longitude': '114.169187'}"
Sun,65,41,24,16,15,18,60,117,165,233,293,308,303,304,318,341,340,344,310,231,184,159,103,65,1015,Peak Rd,"{'latitude': '22.2705687', 'longitude': '114.169187'}"
M-F,40,21,12,9,9,15,86,241,368,406,374,370,365,337,361,376,381,395,340,270,176,151,134,85,1015,Peak Rd,"{'latitude': '22.2705687', 'longitude': '114.169187'}"
Mon,49,28,15,10,10,23,128,348,503,532,496,488,472,464,471,491,474,467,463,389,234,187,171,113,1016,Stubbs Rd,"{'latitude': '22.2662546', 'longitude': '114.1815558'}"
Tue,50,28,15,10,10,23,129,351,508,538,501,493,476,469,476,496,479,472,468,393,237,188,173,114,1016,Stubbs Rd,"{'latitude': '22.2662546', 'longitude': '114.1815558'}"
Wed,50,28,15,10,10,24,130,353,511,541,504,496,479,471,478,498,481,475,470,395,238,189,174,114,1016,Stubbs Rd,"{'latitude': '22.2662546', 'longitude': '114.1815558'}"
Thu,50,28,15,10,10,24,130,354,512,542,506,497,481,473,480,500,483,476,472,396,239,190,174,115,1016,Stubbs Rd,"{'latitude': '22.2662546', 'longitude': '114.1815558'}"
Fri,52,29,16,11,10,24,134,366,530,561,522,514,497,489,496,517,499,492,488,410,247,196,180,118,1016,Stubbs Rd,"{'latitude': '22.2662546', 'longitude': '114.1815558'}"
Sat,81,52,34,22,17,24,89,180,299,408,429,450,451,431,432,445,428,425,425,308,196,178,176,125,1016,Stubbs Rd,"{'latitude': '22.2662546', 'longitude': '114.1815558'}"
Sun,66,41,28,19,13,17,68,114,170,225,276,302,311,287,304,319,299,292,300,215,162,142,106,62,1016,Stubbs Rd,"{'latitude': '22.2662546', 'longitude': '114.1815558'}"
